image_path,class_name,label,label_name,dataset_source,subset
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/091.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/074.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/001.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/063.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/076.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/119.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/096.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/014.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/056.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/086.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/099.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/111.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
/kaggle/input/cervical-cancer-largest-dataset-sipakmed/im_Superficial-Intermediate/im_Superficial-Intermediate/058.bmp,im_Superficial-Intermediate,0,Normal,sipakmed,
